departamento,habilitados,municipio,votantes,votos_no_marcados,votos_nulos,votacion
Santander,1529,Aguada,194,0,0,gran_consulta_por colombia
Bolivar,6905,San Jacinto Del Cauca,652,9,2,gran_consulta_por colombia
Magdalena,8469,San Zenon,444,25,0,gran_consulta_por colombia
Antioquia,9313,Santo Domingo,1349,27,16,gran_consulta_por colombia
Consulados,4049,Rusia,26,0,0,gran_consulta_por colombia
Huila,18955,Acevedo,6160,119,55,gran_consulta_por colombia
Cordoba,18486,Moñitos,1756,46,20,gran_consulta_por colombia
Bolivar,6174,El Peñon,404,7,2,gran_consulta_por colombia
La Guajira,21807,Dibulla,1818,96,14,gran_consulta_por colombia
Boyaca,6349,Siachoque,835,10,34,gran_consulta_por colombia
Meta,8217,La Macarena,637,38,7,gran_consulta_por colombia
Boyaca,2623,Sora,293,2,3,gran_consulta_por colombia
Meta,4533,Barranca De Upia,867,16,10,gran_consulta_por colombia
Nariño,125136,Tumaco,9426,567,178,gran_consulta_por colombia
Magdalena,22621,Guamal,1836,37,6,gran_consulta_por colombia
Casanare,24078,Paz De Ariporo (moreno),7937,78,59,gran_consulta_por colombia
Boyaca,2528,Campohermoso,539,3,3,gran_consulta_por colombia
Casanare,1641,Chameza,515,5,0,gran_consulta_por colombia
Cauca,7254,Sotara (paispamba),520,19,8,gran_consulta_por colombia
Huila,9443,Pital,2215,33,21,gran_consulta_por colombia
Santander,2251,Macaravita,607,17,1,gran_consulta_por colombia
Caldas,6918,Marmato,463,7,7,gran_consulta_por colombia
Tolima,5197,Villarrica,1256,22,10,gran_consulta_por colombia
Cauca,19963,Paez (belalcazar),696,27,17,gran_consulta_por colombia
Nariño,287391,Pasto,43131,803,771,gran_consulta_por colombia
Santander,2081,Santa Barbara,556,4,1,gran_consulta_por colombia
Cundinamarca,21283,La Calera,3976,92,37,gran_consulta_por colombia
Huila,6773,Yaguara,1433,11,21,gran_consulta_por colombia
Antioquia,22328,Santa Barbara,2316,44,40,gran_consulta_por colombia
Consulados,4070,Portugal,51,0,0,gran_consulta_por colombia
Boyaca,1549,Paya,267,5,1,gran_consulta_por colombia
Sucre,9965,Buenavista,1029,8,1,gran_consulta_por colombia
Boyaca,3287,Caldas,589,8,2,gran_consulta_por colombia
Consulados,50,Chipre,5,0,0,gran_consulta_por colombia
Meta,16493,Cumaral,4424,53,51,gran_consulta_por colombia
Nariño,5727,Nariño,767,13,11,gran_consulta_por colombia
Antioquia,5865,Angelopolis,732,66,3,gran_consulta_por colombia
Huila,10983,Tello,1594,20,5,gran_consulta_por colombia
Norte De San,11991,Chinacota,4414,59,49,gran_consulta_por colombia
Valle,98984,Yumbo,9310,250,208,gran_consulta_por colombia
La Guajira,32348,San Juan Del Cesar,7273,124,81,gran_consulta_por colombia
Cauca,4157,Santa Rosa,257,5,2,gran_consulta_por colombia
Atlantico,274613,Soledad,29814,1371,556,gran_consulta_por colombia
Norte De San,3472,Santiago,851,9,2,gran_consulta_por colombia
Huila,25107,Campoalegre,3461,56,56,gran_consulta_por colombia
Antioquia,12132,Valdivia,704,15,5,gran_consulta_por colombia
Santander,3457,Charta,1684,42,9,gran_consulta_por colombia
Caldas,328191,Manizales,67277,703,909,gran_consulta_por colombia
Putumayo,6004,Santiago,434,6,6,gran_consulta_por colombia
Consulados,3794,Noruega,28,0,0,gran_consulta_por colombia
Amazonas,616,Puerto Santander,16,0,0,gran_consulta_por colombia
Guainia,368,Pana Pana (campo Alegre),67,2,1,gran_consulta_por colombia
Guainia,173,Morichal (morichal Nuevo),3,0,0,gran_consulta_por colombia
Boyaca,3092,Floresta,764,9,2,gran_consulta_por colombia
Antioquia,65191,Copacabana,13007,201,184,gran_consulta_por colombia
Valle,4692,Ulloa,619,7,12,gran_consulta_por colombia
Santander,2166,Encino,430,9,0,gran_consulta_por colombia
Cesar,15150,Rio De Oro,3308,49,29,gran_consulta_por colombia
Nariño,5715,Ospina,471,6,2,gran_consulta_por colombia
Cundinamarca,63644,Mosquera,13034,150,291,gran_consulta_por colombia
Nariño,3416,La Llanada,132,3,2,gran_consulta_por colombia
Quindio,7409,Genova,1355,26,8,gran_consulta_por colombia
Sucre,23215,Tolu,2525,82,34,gran_consulta_por colombia
Cundinamarca,13094,Villapinzon,3782,50,39,gran_consulta_por colombia
Boyaca,3265,Coper,845,10,3,gran_consulta_por colombia
Meta,11271,Castilla La Nueva,3865,48,85,gran_consulta_por colombia
Guaviare,39701,San Jose Del Guaviare,6332,90,51,gran_consulta_por colombia
Risaralda,403149,Pereira,80121,1206,952,gran_consulta_por colombia
Cundinamarca,3726,Chaguani,999,10,7,gran_consulta_por colombia
Santander,4176,La Paz,469,2,5,gran_consulta_por colombia
Bolivar,8444,Montecristo,461,33,1,gran_consulta_por colombia
Huila,12350,Suaza,2190,44,15,gran_consulta_por colombia
Boyaca,3047,Guican,576,5,3,gran_consulta_por colombia
Valle,14845,San Pedro,1768,34,28,gran_consulta_por colombia
Boyaca,8727,Ramiriqui,1153,16,11,gran_consulta_por colombia
Consulados,4455,Guatemala,177,1,1,gran_consulta_por colombia
Cundinamarca,3588,Venecia,445,2,5,gran_consulta_por colombia
Vaupes,1139,Buenos Aires (pacoa),6,0,0,gran_consulta_por colombia
Boyaca,85856,Duitama,20410,148,271,gran_consulta_por colombia
Atlantico,5513,Piojo,623,10,3,gran_consulta_por colombia
Sucre,11725,Coveñas,1341,46,7,gran_consulta_por colombia
Huila,20598,Palermo,4190,43,38,gran_consulta_por colombia
Antioquia,13580,Salgar,1963,40,21,gran_consulta_por colombia
Meta,6088,San Juan De Arama,1060,25,9,gran_consulta_por colombia
Magdalena,28848,Pivijay,1956,57,18,gran_consulta_por colombia
Antioquia,5405,Hispania,630,13,2,gran_consulta_por colombia
Tolima,10251,San Antonio,2607,79,31,gran_consulta_por colombia
Boyaca,7134,Toca,908,12,9,gran_consulta_por colombia
Caqueta,11184,La Montañita,856,34,6,gran_consulta_por colombia
Valle,113098,Cartago,17513,308,289,gran_consulta_por colombia
Nariño,17270,Buesaco,2742,78,20,gran_consulta_por colombia
Santander,6957,San Andres,1431,21,9,gran_consulta_por colombia
Boyaca,3094,Santa Sofia,628,4,4,gran_consulta_por colombia
Tolima,16505,Cajamarca,2847,42,45,gran_consulta_por colombia
Boyaca,3458,Sachica,445,2,2,gran_consulta_por colombia
Casanare,16385,Tauramena,5304,51,55,gran_consulta_por colombia
Cauca,13924,Mercaderes,555,31,13,gran_consulta_por colombia
Cundinamarca,7064,Paratebueno (la Naguaya),1971,30,29,gran_consulta_por colombia
San Andres,4093,Providencia,517,16,3,gran_consulta_por colombia
Cundinamarca,14798,Tenjo,2937,33,50,gran_consulta_por colombia
Norte De San,2673,Mutiscua,958,24,5,gran_consulta_por colombia
Tolima,17404,Flandes,2246,22,33,gran_consulta_por colombia
Boyaca,1484,Berbeo,202,3,1,gran_consulta_por colombia
Cundinamarca,3762,Guayabal De Siquima,964,12,3,gran_consulta_por colombia
Amazonas,1391,Tarapaca,34,0,0,gran_consulta_por colombia
Meta,6456,Puerto Lleras,1324,33,22,gran_consulta_por colombia
Valle,13031,La Cumbre,1690,37,22,gran_consulta_por colombia
Boyaca,3663,El Cocuy,931,15,5,gran_consulta_por colombia
Choco,5321,Novita,554,138,8,gran_consulta_por colombia
Caldas,15510,Salamina,2223,36,26,gran_consulta_por colombia
Tolima,38848,Chaparral,4901,140,82,gran_consulta_por colombia
Putumayo,4764,San Francisco,500,11,3,gran_consulta_por colombia
Bolivar,36016,Mompos,2472,137,19,gran_consulta_por colombia
Valle,6397,Argelia,1123,29,13,gran_consulta_por colombia
Bolivar,12114,Simiti,1143,24,6,gran_consulta_por colombia
Meta,8368,Mesetas,847,12,6,gran_consulta_por colombia
Bolivar,9873,Cicuco,569,15,2,gran_consulta_por colombia
Cesar,24146,Chimichagua,2466,62,17,gran_consulta_por colombia
Caqueta,3735,Morelia,674,15,1,gran_consulta_por colombia
Cauca,18003,Argelia,305,49,6,gran_consulta_por colombia
Boyaca,2627,Chivata,525,5,4,gran_consulta_por colombia
Cordoba,62880,Tierralta,5884,179,88,gran_consulta_por colombia
Quindio,5176,Cordoba,673,14,14,gran_consulta_por colombia
Nariño,14292,Guachucal,862,39,16,gran_consulta_por colombia
Cundinamarca,5529,Junin,938,13,15,gran_consulta_por colombia
Consulados,3737,Polonia,23,0,1,gran_consulta_por colombia
Santander,5849,Sucre,1005,8,12,gran_consulta_por colombia
Choco,21442,Istmina,1072,146,42,gran_consulta_por colombia
Huila,9066,Saladoblanco,2855,28,29,gran_consulta_por colombia
Consulados,3740,Egipto,12,0,0,gran_consulta_por colombia
Antioquia,39861,Marinilla,10015,94,156,gran_consulta_por colombia
Cauca,14744,Timbiqui,665,156,10,gran_consulta_por colombia
Magdalena,52225,Fundacion,7177,157,54,gran_consulta_por colombia
Boyaca,9709,Saboya,1741,20,23,gran_consulta_por colombia
Amazonas,61,La Victoria,3,0,0,gran_consulta_por colombia
Choco,5300,Union Panamericana (las Animas,334,11,7,gran_consulta_por colombia
Cordoba,25887,Valencia,2072,37,13,gran_consulta_por colombia
Cundinamarca,4694,Cucunuba,558,6,9,gran_consulta_por colombia
Caqueta,7686,Belen De Los Andaquies,1359,43,19,gran_consulta_por colombia
Cundinamarca,9500,Fomeque,2658,27,21,gran_consulta_por colombia
Boyaca,2287,Rondon,377,4,0,gran_consulta_por colombia
Nariño,10979,Guaitarilla,873,34,10,gran_consulta_por colombia
Antioquia,7148,Buritica,713,29,5,gran_consulta_por colombia
Cesar,14386,Astrea,1789,42,8,gran_consulta_por colombia
Bolivar,8385,San Fernando,574,15,4,gran_consulta_por colombia
Boyaca,6540,Otanche,2383,37,28,gran_consulta_por colombia
Nariño,5708,Contadero,535,22,8,gran_consulta_por colombia
Cundinamarca,59358,Madrid,10855,125,285,gran_consulta_por colombia
Santander,2433,Confines,780,10,8,gran_consulta_por colombia
Boyaca,2734,San Miguel De Sema,469,5,1,gran_consulta_por colombia
Antioquia,7679,Maceo,1112,7,4,gran_consulta_por colombia
Norte De San,6188,Cucutilla,2037,102,26,gran_consulta_por colombia
Cordoba,24347,Pueblo Nuevo,2566,32,11,gran_consulta_por colombia
Cauca,8730,Rosas,751,28,11,gran_consulta_por colombia
Risaralda,159074,Dosquebradas,29360,471,458,gran_consulta_por colombia
Norte De San,3832,Pamplonita,1589,30,21,gran_consulta_por colombia
Bolivar,11950,Santa Catalina,803,103,14,gran_consulta_por colombia
Atlantico,18279,Juan De Acosta,3671,76,22,gran_consulta_por colombia
Bolivar,4837,Regidor,532,15,1,gran_consulta_por colombia
Vaupes,1466,Taraira,35,0,0,gran_consulta_por colombia
Choco,3071,Jurado,101,11,1,gran_consulta_por colombia
Antioquia,9305,Liborina,1838,32,33,gran_consulta_por colombia
Tolima,29134,Mariquita,3568,47,75,gran_consulta_por colombia
Boyaca,1976,Almeida,379,7,3,gran_consulta_por colombia
Cundinamarca,4495,Guayabetal,1266,26,7,gran_consulta_por colombia
Nariño,95048,Ipiales,8347,194,185,gran_consulta_por colombia
Valle,19486,Ansermanuevo,2256,30,36,gran_consulta_por colombia
Sucre,46819,Corozal,8373,192,67,gran_consulta_por colombia
Antioquia,6116,Yali,579,9,3,gran_consulta_por colombia
Boyaca,2399,Paez,818,19,8,gran_consulta_por colombia
Magdalena,6992,Remolino,267,10,4,gran_consulta_por colombia
Consulados,29082,Panama,1254,5,4,gran_consulta_por colombia
Bolivar,20714,San Jacinto,3446,48,37,gran_consulta_por colombia
Amazonas,991,La Pedrera,34,8,0,gran_consulta_por colombia
Nariño,16173,Sandona,1423,43,18,gran_consulta_por colombia
Antioquia,35036,Carmen De Viboral,8026,68,90,gran_consulta_por colombia
Boyaca,1657,Guacamayas,726,11,2,gran_consulta_por colombia
Cundinamarca,6146,Carmen De Carupa,1178,35,16,gran_consulta_por colombia
Antioquia,19147,Zaragoza,794,33,20,gran_consulta_por colombia
Cauca,31283,Bolivar,1053,180,27,gran_consulta_por colombia
Tolima,10205,Armero (guayabal),911,25,16,gran_consulta_por colombia
Boyaca,25613,Paipa,4289,53,37,gran_consulta_por colombia
Boyaca,1240,Sativasur,179,0,0,gran_consulta_por colombia
Meta,8194,San Carlos De Guaroa,2348,32,16,gran_consulta_por colombia
Boyaca,3520,Cerinza,788,3,9,gran_consulta_por colombia
Atlantico,18504,Ponedera,2249,244,17,gran_consulta_por colombia
Antioquia,7224,Sabanalarga,779,17,8,gran_consulta_por colombia
Consulados,5576,Belgica,227,7,0,gran_consulta_por colombia
Boyaca,1846,Tutaza,364,11,9,gran_consulta_por colombia
Boyaca,4494,San Luis De Gaceno,1503,13,12,gran_consulta_por colombia
Boyaca,4744,Arcabuco,817,5,8,gran_consulta_por colombia
Casanare,1537,Sacama,120,0,0,gran_consulta_por colombia
La Guajira,24428,Barrancas,2667,230,25,gran_consulta_por colombia
Caldas,19505,Neira,2979,64,43,gran_consulta_por colombia
Caqueta,6798,Milan,573,21,4,gran_consulta_por colombia
Caqueta,19106,Cartagena Del Chaira,826,19,14,gran_consulta_por colombia
Santander,4023,San Jose De Miranda,1441,16,8,gran_consulta_por colombia
Bolivar,8478,Arroyo Hondo,681,12,4,gran_consulta_por colombia
Bolivar,30752,San Juan Nepomuceno,5870,96,39,gran_consulta_por colombia
Tolima,7173,Cunday,1692,17,13,gran_consulta_por colombia
Bolivar,6855,Altos Del Rosario,532,15,1,gran_consulta_por colombia
Cundinamarca,4081,Zipacon,823,8,3,gran_consulta_por colombia
Boyaca,2240,Corrales,426,5,7,gran_consulta_por colombia
Cauca,11108,Totoro,540,31,19,gran_consulta_por colombia
Norte De San,80479,Los Patios,22962,195,192,gran_consulta_por colombia
Consulados,27,Belice,10,0,0,gran_consulta_por colombia
Amazonas,4444,Puerto Nariño,190,11,0,gran_consulta_por colombia
Bolivar,3967,Norosi,276,9,2,gran_consulta_por colombia
Caldas,5928,Norcasia,404,4,5,gran_consulta_por colombia
Boyaca,1971,Pachavita,380,8,2,gran_consulta_por colombia
Boyaca,2513,Oicata,553,5,3,gran_consulta_por colombia
Antioquia,13254,Cocorna,3230,96,47,gran_consulta_por colombia
Cundinamarca,5214,Nocaima,1269,8,15,gran_consulta_por colombia
Antioquia,4385,Concepcion,839,20,6,gran_consulta_por colombia
Norte De San,4327,Durania,1081,12,5,gran_consulta_por colombia
Antioquia,16809,Don Matias,3274,44,24,gran_consulta_por colombia
Bolivar,10398,Hatillo De Loba,1121,32,6,gran_consulta_por colombia
Consulados,3682,Republica De Filipinas,20,0,0,gran_consulta_por colombia
Valle,26857,La Union,4897,91,75,gran_consulta_por colombia
Antioquia,17950,Ituango,878,56,27,gran_consulta_por colombia
Antioquia,6156,Heliconia,624,10,8,gran_consulta_por colombia
Santander,3731,Molagavita,1187,27,8,gran_consulta_por colombia
Cundinamarca,21059,Pacho,5655,115,77,gran_consulta_por colombia
Boyaca,4923,Tasco,489,8,7,gran_consulta_por colombia
Risaralda,60931,Santa Rosa De Cabal,12164,151,156,gran_consulta_por colombia
Nariño,22004,La Union,3924,166,50,gran_consulta_por colombia
Meta,1332,San Juanito,273,4,0,gran_consulta_por colombia
Consulados,11771,Costa Rica,953,7,5,gran_consulta_por colombia
Valle,13363,Bolivar,1955,19,16,gran_consulta_por colombia
Nariño,10321,Cordoba,518,25,5,gran_consulta_por colombia
Santander,3284,Gambita,442,7,2,gran_consulta_por colombia
Consulados,7060,Aruba,529,7,3,gran_consulta_por colombia
Quindio,10552,Filandia,1941,29,25,gran_consulta_por colombia
Cundinamarca,11589,Anapoima,2703,30,33,gran_consulta_por colombia
Cordoba,13948,Momil,1849,24,7,gran_consulta_por colombia
Cundinamarca,22493,Villeta,6179,76,61,gran_consulta_por colombia
Magdalena,16551,San Sebastian De Buenavista,1134,57,8,gran_consulta_por colombia
Risaralda,6541,La Celia,1264,23,23,gran_consulta_por colombia
Caldas,39484,Villamaria,6770,93,107,gran_consulta_por colombia
Vaupes,16157,Mitu,677,13,2,gran_consulta_por colombia
Consulados,9432,Paises Bajos,201,0,0,gran_consulta_por colombia
Antioquia,4829,Caracoli,499,9,6,gran_consulta_por colombia
Consulados,3666,Kenia,10,0,0,gran_consulta_por colombia
Tolima,6886,Ambalema,666,8,10,gran_consulta_por colombia
Valle,28981,Roldanillo,5795,65,58,gran_consulta_por colombia
Santander,12896,Puente Nacional,1970,22,27,gran_consulta_por colombia
Cundinamarca,8998,Simijaca,1672,24,17,gran_consulta_por colombia
Santander,9696,Charala,1506,19,17,gran_consulta_por colombia
Atlantico,12794,Polonuevo,888,36,10,gran_consulta_por colombia
Caldas,11437,Aranzazu,1531,10,14,gran_consulta_por colombia
Antioquia,14771,San Roque,2094,54,19,gran_consulta_por colombia
Casanare,9389,Trinidad,2983,40,12,gran_consulta_por colombia
Bolivar,9077,Talaigua Nuevo,976,9,4,gran_consulta_por colombia
Valle,8028,Versalles,1236,13,12,gran_consulta_por colombia
Nariño,7348,Leiva,244,7,4,gran_consulta_por colombia
Quindio,6104,Pijao,1388,13,12,gran_consulta_por colombia
Guainia,184,La Guadalupe,2,0,0,gran_consulta_por colombia
Cundinamarca,11491,Subachoque,2901,38,40,gran_consulta_por colombia
Boyaca,2682,Tinjaca,702,8,5,gran_consulta_por colombia
Boyaca,5834,Firavitoba,771,6,10,gran_consulta_por colombia
Guaviare,5561,Calamar,191,2,2,gran_consulta_por colombia
Boyaca,7612,Miraflores,794,5,5,gran_consulta_por colombia
Cordoba,79989,Sahagun,10094,172,59,gran_consulta_por colombia
Santander,6451,Barichara,1317,16,12,gran_consulta_por colombia
Huila,18816,Isnos,3912,77,46,gran_consulta_por colombia
Consulados,3749,Turquia,35,1,0,gran_consulta_por colombia
Valle,222266,Buenaventura,11585,905,550,gran_consulta_por colombia
Cundinamarca,4138,Manta,1213,12,4,gran_consulta_por colombia
Consulados,3617,Arzerbaiyan,9,0,0,gran_consulta_por colombia
Santander,4184,Coromoro,632,12,8,gran_consulta_por colombia
Caqueta,3988,Albania,955,16,10,gran_consulta_por colombia
Santander,5460,Puerto Parra,823,15,12,gran_consulta_por colombia
Cauca,18997,Guapi,784,108,34,gran_consulta_por colombia
Sucre,16509,San Pedro,2181,31,10,gran_consulta_por colombia
Cundinamarca,2292,Guataqui,275,5,6,gran_consulta_por colombia
Cesar,14954,San Martin,3041,39,23,gran_consulta_por colombia
Nariño,24048,Cumbal,1377,41,32,gran_consulta_por colombia
Nariño,13676,La Cruz,1538,25,9,gran_consulta_por colombia
Santander,7606,Mogotes,1610,29,30,gran_consulta_por colombia
Tolima,11062,San Luis,2352,45,27,gran_consulta_por colombia
Boyaca,7536,Soata,2449,26,16,gran_consulta_por colombia
Nariño,13939,Olaya Herrera,355,42,14,gran_consulta_por colombia
Consulados,3863,Nicaragua,42,1,0,gran_consulta_por colombia
Cundinamarca,7579,Chipaque,1246,7,14,gran_consulta_por colombia
Cundinamarca,5047,Guatavita,1216,19,17,gran_consulta_por colombia
Cordoba,86369,Lorica,8470,191,73,gran_consulta_por colombia
Norte De San,12165,Toledo,4308,259,49,gran_consulta_por colombia
Boyaca,5131,Boavita,978,9,8,gran_consulta_por colombia
Boyaca,849,Busbanza,212,4,0,gran_consulta_por colombia
Consulados,3618,Ghana,1,0,0,gran_consulta_por colombia
Magdalena,9710,Algarrobo,1136,92,12,gran_consulta_por colombia
Cordoba,36260,San Pelayo,5757,167,45,gran_consulta_por colombia
Antioquia,3198,San Jose De La Montaña,312,1,2,gran_consulta_por colombia
Caldas,21776,Supia,3093,61,73,gran_consulta_por colombia
Antioquia,8448,Betania,1307,31,7,gran_consulta_por colombia
Norte De San,15289,Convencion,1861,74,33,gran_consulta_por colombia
Santander,2932,Contratacion,621,8,5,gran_consulta_por colombia
Tolima,3822,Murillo,554,11,8,gran_consulta_por colombia
Huila,4716,Nataga,920,15,6,gran_consulta_por colombia
Consulados,5536,Republica Dominicana,276,2,0,gran_consulta_por colombia
Boyaca,8927,Combita,1328,20,15,gran_consulta_por colombia
Santander,3620,El Peñon,619,12,2,gran_consulta_por colombia
Nariño,8341,Yacuanquer,533,16,8,gran_consulta_por colombia
Caldas,2595,Marulanda,349,5,1,gran_consulta_por colombia
Boyaca,6805,Belen,1212,18,88,gran_consulta_por colombia
Sucre,9181,Caimito,1032,44,3,gran_consulta_por colombia
Cundinamarca,14501,Caqueza,2863,22,49,gran_consulta_por colombia
Cundinamarca,2638,Nariño,403,4,5,gran_consulta_por colombia
Antioquia,15968,Retiro,5262,44,26,gran_consulta_por colombia
Boyaca,2188,Iza,564,3,13,gran_consulta_por colombia
Bolivar,13084,TIquisio (pto. Rico),1031,16,4,gran_consulta_por colombia
Cauca,8949,La Sierra,625,20,5,gran_consulta_por colombia
Boyaca,9013,Guateque,1198,18,11,gran_consulta_por colombia
Tolima,5678,Piedras,581,4,4,gran_consulta_por colombia
Amazonas,457,Puerto Arica,27,7,0,gran_consulta_por colombia
Consulados,3668,India,6,0,0,gran_consulta_por colombia
Norte De San,4929,Gramalote,1888,39,18,gran_consulta_por colombia
Santander,22514,Rionegro,4657,54,38,gran_consulta_por colombia
Choco,10644,Condoto,552,30,37,gran_consulta_por colombia
Antioquia,4864,Belmira,639,8,7,gran_consulta_por colombia
Cundinamarca,7709,Pasca,781,14,11,gran_consulta_por colombia
Boyaca,10819,Villa De Leiva,2365,14,28,gran_consulta_por colombia
Choco,8608,Acandi,741,21,6,gran_consulta_por colombia
Boyaca,5684,Turmeque,455,4,3,gran_consulta_por colombia
Antioquia,12366,San Rafael,1524,29,20,gran_consulta_por colombia
Boyaca,7315,Muzo,2837,35,49,gran_consulta_por colombia
Tolima,7728,Anzoategui,1519,46,20,gran_consulta_por colombia
Boyaca,2540,La Capilla,347,1,2,gran_consulta_por colombia
San Andres,44427,San Andres,3168,94,20,gran_consulta_por colombia
Boyaca,3197,Jerico,925,26,12,gran_consulta_por colombia
Nariño,6632,El Rosario,223,6,3,gran_consulta_por colombia
Consulados,119,Dinamarca,15,1,0,gran_consulta_por colombia
Caqueta,32844,San Vicente Del Caguan,2685,53,24,gran_consulta_por colombia
Antioquia,5823,Anza,627,11,7,gran_consulta_por colombia
Huila,15317,Aipe,2169,27,29,gran_consulta_por colombia
Antioquia,328235,Bello,68338,909,1011,gran_consulta_por colombia
Santander,3136,Surata,890,12,6,gran_consulta_por colombia
Cundinamarca,5218,Susa,862,16,10,gran_consulta_por colombia
Nariño,7215,Cuaspud (carlosama),407,24,7,gran_consulta_por colombia
Huila,6595,Villavieja,976,9,6,gran_consulta_por colombia
Tolima,15317,Lerida,1720,31,25,gran_consulta_por colombia
Antioquia,12314,Sopetran,1883,34,16,gran_consulta_por colombia
Cauca,76456,Santander De Quilichao,6259,235,179,gran_consulta_por colombia
Antioquia,85238,Turbo,5318,199,79,gran_consulta_por colombia
Cundinamarca,13557,Cogua,3076,37,72,gran_consulta_por colombia
Norte De San,5070,Labateca,1013,24,6,gran_consulta_por colombia
Santander,6421,Villanueva,1651,26,14,gran_consulta_por colombia
Antioquia,11612,Cisneros,1191,14,8,gran_consulta_por colombia
Guainia,674,Mapiripana,7,0,0,gran_consulta_por colombia
Choco,12897,Tado,792,194,14,gran_consulta_por colombia
Antioquia,17149,Frontino,1234,26,20,gran_consulta_por colombia
Santander,4377,Betulia,817,14,13,gran_consulta_por colombia
Valle,15169,Restrepo,1157,20,13,gran_consulta_por colombia
La Guajira,103166,Uribia,3523,367,48,gran_consulta_por colombia
Santander,4190,Guepsa,360,4,2,gran_consulta_por colombia
Guaviare,9369,El Retorno,1037,20,16,gran_consulta_por colombia
Norte De San,561747,Cucuta,182651,2307,2001,gran_consulta_por colombia
Bolivar,7650,El Guamo,1102,32,1,gran_consulta_por colombia
Cesar,21604,Chiriguana,3846,94,37,gran_consulta_por colombia
Antioquia,2856,Murindo,44,2,1,gran_consulta_por colombia
Choco,80687,Quibdo,6454,423,300,gran_consulta_por colombia
Tolima,33225,Libano,3767,58,99,gran_consulta_por colombia
Tolima,19775,Rovira,4155,137,69,gran_consulta_por colombia
La Guajira,4059,La Jagua Del Pilar,421,7,2,gran_consulta_por colombia
Consulados,137430,España,3205,52,24,gran_consulta_por colombia
Antioquia,4539,Toledo,331,8,5,gran_consulta_por colombia
Boyaca,4627,Raquira,942,9,11,gran_consulta_por colombia
Cordoba,312463,Monteria,56466,877,431,gran_consulta_por colombia
Huila,10498,La Argentina (plata Vieja),1981,23,11,gran_consulta_por colombia
Caldas,15069,Palestina,1635,15,22,gran_consulta_por colombia
Santander,499506,Bucaramanga,141184,1296,1141,gran_consulta_por colombia
Boyaca,5636,Cubara,313,7,3,gran_consulta_por colombia
Nariño,14680,Pupiales,1352,44,36,gran_consulta_por colombia
Cauca,32281,Puerto Tejada,1787,77,126,gran_consulta_por colombia
Cauca,18253,Caloto,1174,77,27,gran_consulta_por colombia
Atlantico,14033,Manati,745,32,3,gran_consulta_por colombia
Caqueta,7626,Curillo,904,36,9,gran_consulta_por colombia
Cundinamarca,6186,Macheta,1515,23,22,gran_consulta_por colombia
Meta,5001,Uribe,114,8,0,gran_consulta_por colombia
Sucre,7210,Coloso (ricaurte),861,13,5,gran_consulta_por colombia
Norte De San,3256,Lourdes,1451,39,15,gran_consulta_por colombia
La Guajira,122621,Maicao,11395,575,176,gran_consulta_por colombia
Cauca,13575,Villa Rica,609,41,46,gran_consulta_por colombia
Choco,7505,Medio San Juan,378,74,16,gran_consulta_por colombia
Antioquia,11044,San Luis,2445,57,20,gran_consulta_por colombia
Putumayo,9125,Puerto Caicedo,323,21,5,gran_consulta_por colombia
Consulados,3629,Marruecos,6,0,0,gran_consulta_por colombia
Choco,7745,Bahia Solano (mutis),642,80,19,gran_consulta_por colombia
Cesar,3975,Gonzalez,619,10,6,gran_consulta_por colombia
Antioquia,2801,Olaya,416,7,1,gran_consulta_por colombia
Nariño,7069,Santacruz (guachaves),238,17,1,gran_consulta_por colombia
Meta,15503,Restrepo,4233,30,37,gran_consulta_por colombia
Boyaca,6460,Pesca,906,7,3,gran_consulta_por colombia
Valle,14488,Yotoco,1384,34,17,gran_consulta_por colombia
Cundinamarca,24170,La Mesa,3838,39,61,gran_consulta_por colombia
Cesar,10492,Gamarra,1757,47,13,gran_consulta_por colombia
Tolima,25798,Guamo,3987,59,59,gran_consulta_por colombia
Magdalena,27615,Aracataca,2192,67,16,gran_consulta_por colombia
Antioquia,1558619,Medellin,439813,3712,4388,gran_consulta_por colombia
Cauca,12619,Almaguer,104,20,4,gran_consulta_por colombia
Risaralda,20168,Quinchia,1569,23,15,gran_consulta_por colombia
Risaralda,10404,Guatica,2069,24,17,gran_consulta_por colombia
Atlantico,26738,Santo Tomas,2479,51,25,gran_consulta_por colombia
Bolivar,9049,Zambrano,475,9,5,gran_consulta_por colombia
Valle,11686,La Victoria,1793,36,27,gran_consulta_por colombia
Tolima,5133,Casabianca,964,11,0,gran_consulta_por colombia
Antioquia,6567,Briceño,402,19,0,gran_consulta_por colombia
Consulados,4074,El Salvador,76,0,0,gran_consulta_por colombia
Caldas,15619,Manzanares,2784,45,22,gran_consulta_por colombia
Cundinamarca,3157,Nimaima,978,18,9,gran_consulta_por colombia
Tolima,8556,Alvarado,1171,11,9,gran_consulta_por colombia
Sucre,16454,Galeras (nueva Granada),3446,53,24,gran_consulta_por colombia
Nariño,5678,Funes,417,8,4,gran_consulta_por colombia
Antioquia,6676,Campamento,438,8,3,gran_consulta_por colombia
Santander,8394,Bolivar,1573,20,22,gran_consulta_por colombia
Atlantico,23421,Sabanagrande,2047,43,11,gran_consulta_por colombia
Cundinamarca,90485,Facatativa,16643,197,399,gran_consulta_por colombia
Cundinamarca,14954,El Rosal,2959,29,56,gran_consulta_por colombia
Caldas,4897,San Jose,766,7,3,gran_consulta_por colombia
